# The live-safety bands, MEASURED on the bank, red cards out; written by
# scripts/livebands.py every two days (the bank-refresh workflow) and read
# by scripts/webapp.py and scripts/bankrates.py for the live tag. The tag
# reads the league's own row where it has 50 cards or more (source
# 'league'), else the whole bank's row (league '*', source 'global'), else
# the seed. A league row under the floor is written as 'thin' and not read.
# Thresholds: safe >= 79, cautious >= 77, else unsafe.
# written	2026-09-12
# The 'flip' rows: priced plays with that tag that also print that lane,
# paired on the board's last 21 days — n cards where tip 1 graded and
# that lane won or lost (a push on the lane is no bet), hit = THAT lane,
# said = tip 1 on the same cards; flipped when the lane beats tip 1 by 5.
# league	lane	band	n	hit	said	label	source
ENG-PL	watch	−1..+1	41	78.0	81.2	safe	thin
ENG-PL	priced	+1 up	72	79.2	83.2	safe	league
ENG-PL	priced	−1..+1	38	73.7	81.2	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-L2	athena	−1..+1	124	81.5	79.6	safe	league
ESP-L2	athena	−4 down	389	89.7	84.2	safe	league
ESP-L2	watch	+1 up	3	66.7	80.3	safe	thin
ESP-L2	watch	−1..+1	61	73.8	79.5	unsafe	league
ESP-L2	watch	−4 down	84	73.8	84.3	unsafe	league
ESP-L2	priced	+1 up	2	50.0	73.5	cautious	thin
ESP-L2	priced	−1..+1	67	73.1	79.5	unsafe	league
ESP-L2	priced	−4 down	22	72.7	84.3	unsafe	thin
ESP-LL	athena	+1 up	208	86.5	79.8	safe	league
ESP-LL	athena	−4..−1	150	92.0	84.8	safe	league
ESP-LL	watch	+1 up	70	74.3	79.8	unsafe	league
ESP-LL	watch	−4..−1	22	95.5	84.9	safe	thin
ESP-LL	priced	+1 up	64	79.7	78.4	safe	league
ESP-LL	priced	−4..−1	11	72.7	84.8	unsafe	thin
ESP-LL	athena	+1 up	208	86.5	79.8	safe	league
ESP-LL	athena	−4..−1	150	92.0	84.8	safe	league
ESP-LL	watch	+1 up	70	74.3	79.8	unsafe	league
ESP-LL	watch	−4..−1	22	95.5	84.9	safe	thin
ESP-LL	priced	+1 up	64	79.7	78.4	safe	league
ESP-LL	priced	−4..−1	11	72.7	84.8	unsafe	thin
ESP-LL	athena	+1 up	208	86.5	79.8	safe	league
ESP-LL	athena	−4..−1	150	92.0	84.8	safe	league
ESP-LL	watch	+1 up	70	74.3	79.8	unsafe	league
ESP-LL	watch	−4..−1	22	95.5	84.9	safe	thin
ESP-LL	priced	+1 up	64	79.7	78.4	safe	league
ESP-LL	priced	−4..−1	11	72.7	84.8	unsafe	thin
ESP-LL	athena	+1 up	208	86.5	79.8	safe	league
ESP-LL	athena	−4..−1	150	92.0	84.8	safe	league
ESP-LL	watch	+1 up	70	74.3	79.8	unsafe	league
ESP-LL	watch	−4..−1	22	95.5	84.9	safe	thin
ESP-LL	priced	+1 up	64	79.7	78.4	safe	league
ESP-LL	priced	−4..−1	11	72.7	84.8	unsafe	thin
ESP-LL	athena	+1 up	208	86.5	79.8	safe	league
ESP-LL	athena	−4..−1	150	92.0	84.8	safe	league
ESP-LL	watch	+1 up	70	74.3	79.8	unsafe	league
ESP-LL	watch	−4..−1	22	95.5	84.9	safe	thin
ESP-LL	priced	+1 up	64	79.7	78.4	safe	league
ESP-LL	priced	−4..−1	11	72.7	84.8	unsafe	thin
ESP-LL	athena	+1 up	208	86.5	79.8	safe	league
ESP-LL	athena	−4..−1	150	92.0	84.8	safe	league
ESP-LL	watch	+1 up	70	74.3	79.8	unsafe	league
